CF Comune,Comune,CF Partecipata,Quota
8010803,COMUNE DI CINQUEFRONDI,2171040807,1.8276762
8010803,COMUNE DI CINQUEFRONDI,2389030798,1.7971082
31500945,COMUNE DI COLLI A VOLTURNO,1622170700,0.0032883864
31500945,COMUNE DI COLLI A VOLTURNO,857000947,0.032883864
31500945,COMUNE DI COLLI A VOLTURNO,947590949,0.40816325
31500945,COMUNE DI COLLI A VOLTURNO,1884950708,0.4978395
31730948,COMUNE DI SANTA MARIA DEL MOLISE,1622170700,0.04198646
31730948,COMUNE DI SANTA MARIA DEL MOLISE,968090704,0.1001001
31730948,COMUNE DI SANTA MARIA DEL MOLISE,857000947,0.41986462
31730948,COMUNE DI SANTA MARIA DEL MOLISE,90023160949,0.07304602
33120437,COMUNE DI MATELICA,1230550996,0.15016387
33120437,COMUNE DI MATELICA,97249640588,4.68513e-09
33120437,COMUNE DI MATELICA,2336370511,0.14982854
33120437,COMUNE DI MATELICA,2609010547,0.023023203
33120437,COMUNE DI MATELICA,2196910976,0.15020394
33120437,COMUNE DI MATELICA,80010900431,3.48
33120437,COMUNE DI MATELICA,1746570447,0.15020394
33120437,COMUNE DI MATELICA,1671350682,0.05948076
33120437,COMUNE DI MATELICA,2238060970,0.15020394
33120437,COMUNE DI MATELICA,1137980528,0.018983826
33120437,COMUNE DI MATELICA,6978460480,0.11265296
33120437,COMUNE DI MATELICA,1217720539,0.12808163
33120437,COMUNE DI MATELICA,1701950550,0.03
33120437,COMUNE DI MATELICA,2208500484,0.15020394
33120437,COMUNE DI MATELICA,2872130428,0.03
33120437,COMUNE DI MATELICA,2637140423,0.89352286
33120437,COMUNE DI MATELICA,1722620513,0.0022844295
33120437,COMUNE DI MATELICA,2101430425,0.021420097
33120437,COMUNE DI MATELICA,1119560439,1.2411643
33120437,COMUNE DI MATELICA,1530150513,0.0017425916
33120437,COMUNE DI MATELICA,12475460015,0.00015020395
33120437,COMUNE DI MATELICA,12475430018,0.00015020395
33120437,COMUNE DI MATELICA,83001870431,1.0
33120437,COMUNE DI MATELICA,2149060978,0.15020394
33120437,COMUNE DI MATELICA,322690421,0.19744
33120437,COMUNE DI MATELICA,2253550970,0.07660401
33120437,COMUNE DI MATELICA,1349420529,0.03097888
33120437,COMUNE DI MATELICA,2166820510,0.14982854
33120437,COMUNE DI MATELICA,1734560517,7.2475115e-05
33120437,COMUNE DI MATELICA,1457680518,0.01835666
33120437,COMUNE DI MATELICA,1875880971,0.119151115
33120437,COMUNE DI MATELICA,3648230161,0.15020394
33120437,COMUNE DI MATELICA,2344270356,0.017468747
33120437,COMUNE DI MATELICA,7743940962,0.0018983826
33120437,COMUNE DI MATELICA,93069970437,3.27
33120437,COMUNE DI MATELICA,1219980529,0.15020394
33120437,COMUNE DI MATELICA,2191980420,1.5016388
33120437,COMUNE DI MATELICA,1595780436,33.333336
33120437,COMUNE DI MATELICA,3048300549,0.03
33120437,COMUNE DI MATELICA,1403750530,0.15020394
33120437,COMUNE DI MATELICA,1499110433,0.15020394
33120437,COMUNE DI MATELICA,2134230206,0.046816733
33120437,COMUNE DI MATELICA,6082130482,0.022530593
33120437,COMUNE DI MATELICA,2879250427,0.03
33120437,COMUNE DI MATELICA,2089000422,0.095703535
33120437,COMUNE DI MATELICA,756180527,0.15020394
33120437,COMUNE DI MATELICA,2906230426,1.502
33120437,COMUNE DI MATELICA,1795501202,1.5854928e-05
33120437,COMUNE DI MATELICA,2462970415,0.073599935
33120437,COMUNE DI MATELICA,1369040439,0.024437927
33120437,COMUNE DI MATELICA,93086420424,3.14
34670943,COMUNE DI ISERNIA,947590949,4.0816326
34670943,COMUNE DI ISERNIA,1561760701,0.074
34670943,COMUNE DI ISERNIA,90023160949,7.304602
34670943,COMUNE DI ISERNIA,97249640588,3.3122065e-05
34670943,COMUNE DI ISERNIA,1884950708,7.9579616
34670943,COMUNE DI ISERNIA,4949971008,6.4894664e-07
34670943,COMUNE DI ISERNIA,857000947,11.412094
34670943,COMUNE DI ISERNIA,1622170700,1.1412094
38870945,COMUNE DI CARPINONE,947590949,0.40816325
38870945,COMUNE DI CARPINONE,857000947,0.5242798
38870945,COMUNE DI CARPINONE,1884950708,0.40381768
38870945,COMUNE DI CARPINONE,1622170700,0.052427977
38870945,COMUNE DI CARPINONE,90023160949,0.07304602
38870945,COMUNE DI CARPINONE,821000940,20.0
43820620,COMUNE DI TELESE TERME,934000621,0.24135935
43820620,COMUNE DI TELESE TERME,1771690623,1.1668612
46540860,COMUNE DI PIAZZA ARMERINA,1545630855,0.1002
46540860,COMUNE DI PIAZZA ARMERINA,1178450860,6.0869637
46540860,COMUNE DI PIAZZA ARMERINA,1064400862,51.0
46540860,COMUNE DI PIAZZA ARMERINA,1686190859,0.012525
46540860,COMUNE DI PIAZZA ARMERINA,12236141003,0.98580253
46540860,COMUNE DI PIAZZA ARMERINA,1897460851,12.17
46540860,COMUNE DI PIAZZA ARMERINA,556290864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,1058960863,10.632857
46540860,COMUNE DI PIAZZA ARMERINA,667240865,6.957154
46540860,COMUNE DI PIAZZA ARMERINA,1093920864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,1545620856,0.1
46540860,COMUNE DI PIAZZA ARMERINA,548140862,8.743163
46840864,COMUNE DI VALGUARNERA CAROPEPE,1201410865,5.1383333
46840864,COMUNE DI VALGUARNERA CAROPEPE,548140862,3.702634
46840864,COMUNE DI VALGUARNERA CAROPEPE,1178450860,0.037742324
46840864,COMUNE DI VALGUARNERA CAROPEPE,1058960863,4.3589525
46840864,COMUNE DI VALGUARNERA CAROPEPE,667240865,3.4534228
50800523,COMUNE DI SIENA,1222630533,1.9003356e-06
50800523,COMUNE DI SIENA,275790525,3.1161103e-06
50800523,COMUNE DI SIENA,4633850484,1.7760895
50800523,COMUNE DI SIENA,6299200482,3.7839963
50800523,COMUNE DI SIENA,1700070517,0.40330935
50800523,COMUNE DI SIENA,12670930960,2.1126637e-06
50800523,COMUNE DI SIENA,1169690524,18.0
50800523,COMUNE DI SIENA,4751050487,4.8388692e-06
50800523,COMUNE DI SIENA,1174090520,15.000001
50800523,COMUNE DI SIENA,1170590523,1e-08
50800523,COMUNE DI SIENA,10934410969,1.1201437e-06
50800523,COMUNE DI SIENA,1319650527,3.8897676
50800523,COMUNE DI SIENA,1931350431,6.0036226e-10
50800523,COMUNE DI SIENA,2149060978,3.9832418
50800523,COMUNE DI SIENA,2439760162,0.005481354
50800523,COMUNE DI SIENA,3153900794,7.5287524e-08
50800523,COMUNE DI SIENA,156300527,15.845114
50800523,COMUNE DI SIENA,92041260529,1.46
50800523,COMUNE DI SIENA,1286940521,28.45
50800523,COMUNE DI SIENA,92046650526,96.77
50800523,COMUNE DI SIENA,3759560489,0.24753761
50800523,COMUNE DI SIENA,6558130826,0.00037500003
50800523,COMUNE DI SIENA,92049570523,0.01
50800523,COMUNE DI SIENA,1142800521,13.17146
50800523,COMUNE DI SIENA,3189750049,0.005481354
50800523,COMUNE DI SIENA,2799890047,0.0011405164
50800523,COMUNE DI SIENA,2012320517,1.5905337
50800523,COMUNE DI SIENA,1288710484,1.3051907e-05
50800523,COMUNE DI SIENA,3757240548,9.441979e-06
