CF Comune,Comune,CF Partecipata,Quota
8010803,COMUNE DI CINQUEFRONDI,2389030798,1.7971082
8010803,COMUNE DI CINQUEFRONDI,2171040807,1.8276762
31500945,COMUNE DI COLLI A VOLTURNO,857000947,0.032883864
31500945,COMUNE DI COLLI A VOLTURNO,1622170700,0.0032883864
31500945,COMUNE DI COLLI A VOLTURNO,1884950708,0.4978395
31500945,COMUNE DI COLLI A VOLTURNO,947590949,0.40816325
31730948,COMUNE DI SANTA MARIA DEL MOLISE,1622170700,0.04198646
31730948,COMUNE DI SANTA MARIA DEL MOLISE,90023160949,0.07304602
31730948,COMUNE DI SANTA MARIA DEL MOLISE,968090704,0.1001001
31730948,COMUNE DI SANTA MARIA DEL MOLISE,857000947,0.41986462
33120437,COMUNE DI MATELICA,12475430018,0.0002482855
33120437,COMUNE DI MATELICA,1230550996,0.15016387
33120437,COMUNE DI MATELICA,2196910976,0.2482855
33120437,COMUNE DI MATELICA,2089000422,0.15819691
33120437,COMUNE DI MATELICA,1219980529,0.2482855
33120437,COMUNE DI MATELICA,1217720539,0.21207622
33120437,COMUNE DI MATELICA,1671350682,0.09832106
33120437,COMUNE DI MATELICA,2149060978,0.2482855
33120437,COMUNE DI MATELICA,322690421,0.19744
33120437,COMUNE DI MATELICA,93069970437,3.27
33120437,COMUNE DI MATELICA,2344270356,0.028875649
33120437,COMUNE DI MATELICA,2253550970,0.12662561
33120437,COMUNE DI MATELICA,80010900431,3.48
33120437,COMUNE DI MATELICA,1595780436,33.333336
33120437,COMUNE DI MATELICA,1499110433,0.2482855
33120437,COMUNE DI MATELICA,1457680518,0.01835666
33120437,COMUNE DI MATELICA,2191980420,1.5016388
33120437,COMUNE DI MATELICA,97249640588,6.2517698e-09
33120437,COMUNE DI MATELICA,756180527,0.2482855
33120437,COMUNE DI MATELICA,2101430425,0.021420097
33120437,COMUNE DI MATELICA,2208500484,0.2482855
33120437,COMUNE DI MATELICA,1530150513,0.0028804853
33120437,COMUNE DI MATELICA,3648230161,0.2482855
33120437,COMUNE DI MATELICA,12475460015,0.0002482855
33120437,COMUNE DI MATELICA,1369040439,0.024437927
33120437,COMUNE DI MATELICA,1349420529,0.05119803
33120437,COMUNE DI MATELICA,2462970415,0.1216599
33120437,COMUNE DI MATELICA,6082130482,0.037242826
33120437,COMUNE DI MATELICA,1403750530,0.2482855
33120437,COMUNE DI MATELICA,93086420424,3.14
33120437,COMUNE DI MATELICA,2609010547,0.023023203
33120437,COMUNE DI MATELICA,2166820510,0.24766496
33120437,COMUNE DI MATELICA,2238060970,0.2482855
33120437,COMUNE DI MATELICA,2906230426,1.502
33120437,COMUNE DI MATELICA,83001870431,1.0
33120437,COMUNE DI MATELICA,1746570447,0.2482855
33120437,COMUNE DI MATELICA,1722620513,0.0022844295
33120437,COMUNE DI MATELICA,2134230206,0.07738756
33120437,COMUNE DI MATELICA,1734560517,0.000119800585
33120437,COMUNE DI MATELICA,1875880971,0.19695552
33120437,COMUNE DI MATELICA,1119560439,1.2411643
33120437,COMUNE DI MATELICA,1795501202,2.1156588e-05
33120437,COMUNE DI MATELICA,2879250427,0.03
33120437,COMUNE DI MATELICA,1137980528,0.03138006
33120437,COMUNE DI MATELICA,3048300549,0.03
33120437,COMUNE DI MATELICA,2637140423,0.93754923
33120437,COMUNE DI MATELICA,2872130428,0.03
33120437,COMUNE DI MATELICA,6978460480,0.18621412
33120437,COMUNE DI MATELICA,7743940962,0.0031380062
33120437,COMUNE DI MATELICA,2336370511,0.24766496
34670943,COMUNE DI ISERNIA,1884950708,7.9579616
34670943,COMUNE DI ISERNIA,947590949,4.0816326
34670943,COMUNE DI ISERNIA,857000947,11.412094
34670943,COMUNE DI ISERNIA,90023160949,7.304602
34670943,COMUNE DI ISERNIA,1622170700,1.1412094
34670943,COMUNE DI ISERNIA,1561760701,0.074
34670943,COMUNE DI ISERNIA,97249640588,3.3122065e-05
34670943,COMUNE DI ISERNIA,4949971008,6.4894664e-07
38870945,COMUNE DI CARPINONE,947590949,0.40816325
38870945,COMUNE DI CARPINONE,1622170700,0.052427977
38870945,COMUNE DI CARPINONE,821000940,20.0
38870945,COMUNE DI CARPINONE,1884950708,0.40381768
38870945,COMUNE DI CARPINONE,90023160949,0.07304602
38870945,COMUNE DI CARPINONE,857000947,0.5242798
43820620,COMUNE DI TELESE TERME,934000621,0.24135935
43820620,COMUNE DI TELESE TERME,1771690623,1.1668612
46540860,COMUNE DI PIAZZA ARMERINA,667240865,6.957154
46540860,COMUNE DI PIAZZA ARMERINA,1545630855,0.1002
46540860,COMUNE DI PIAZZA ARMERINA,1058960863,10.632857
46540860,COMUNE DI PIAZZA ARMERINA,1897460851,12.17
46540860,COMUNE DI PIAZZA ARMERINA,12236141003,0.98580253
46540860,COMUNE DI PIAZZA ARMERINA,1093920864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,556290864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,1686190859,0.012525
46540860,COMUNE DI PIAZZA ARMERINA,1178450860,6.0869637
46540860,COMUNE DI PIAZZA ARMERINA,1064400862,51.0
46540860,COMUNE DI PIAZZA ARMERINA,548140862,8.743163
46540860,COMUNE DI PIAZZA ARMERINA,5678560821,0.5797629
46540860,COMUNE DI PIAZZA ARMERINA,1545620856,0.1
46840864,COMUNE DI VALGUARNERA CAROPEPE,1058960863,4.3589525
46840864,COMUNE DI VALGUARNERA CAROPEPE,548140862,3.702634
46840864,COMUNE DI VALGUARNERA CAROPEPE,5678560821,0.28778526
46840864,COMUNE DI VALGUARNERA CAROPEPE,1201410865,5.1383333
46840864,COMUNE DI VALGUARNERA CAROPEPE,667240865,3.4534228
46840864,COMUNE DI VALGUARNERA CAROPEPE,1178450860,0.037742324
50800523,COMUNE DI SIENA,92058220523,3.11
50800523,COMUNE DI SIENA,3153900794,7.5287524e-08
50800523,COMUNE DI SIENA,527910046,0.0054803127
50800523,COMUNE DI SIENA,1530150513,0.07638727
