CF Comune,Comune,CF Partecipata,Quota
8010803,COMUNE DI CINQUEFRONDI,2171040807,1.8276762
8010803,COMUNE DI CINQUEFRONDI,2389030798,1.7971082
31500945,COMUNE DI COLLI A VOLTURNO,947590949,0.40816325
31500945,COMUNE DI COLLI A VOLTURNO,839790946,51.0
31500945,COMUNE DI COLLI A VOLTURNO,857000947,0.032883864
31500945,COMUNE DI COLLI A VOLTURNO,1622170700,0.0032883864
31730948,COMUNE DI SANTA MARIA DEL MOLISE,968090704,0.1001001
31730948,COMUNE DI SANTA MARIA DEL MOLISE,857000947,0.41986462
31730948,COMUNE DI SANTA MARIA DEL MOLISE,90023160949,0.07304602
31730948,COMUNE DI SANTA MARIA DEL MOLISE,1622170700,0.04198646
33120437,COMUNE DI MATELICA,1307210524,0.12127601
33120437,COMUNE DI MATELICA,2033530979,0.12127601
33120437,COMUNE DI MATELICA,2637140423,0.825904
33120437,COMUNE DI MATELICA,1502360447,6.96402e-06
33120437,COMUNE DI MATELICA,1393140429,2.5
33120437,COMUNE DI MATELICA,2094770449,0.0001741005
33120437,COMUNE DI MATELICA,2101430425,0.021420097
33120437,COMUNE DI MATELICA,1488840677,6.96402e-05
33120437,COMUNE DI MATELICA,322690421,1.5
33120437,COMUNE DI MATELICA,1732230444,0.1615922
33120437,COMUNE DI MATELICA,2462970415,0.40469298
33120437,COMUNE DI MATELICA,1119560439,1.2479086
33120437,COMUNE DI MATELICA,1989390446,0.0003070411
33120437,COMUNE DI MATELICA,93086420424,3.136
33120437,COMUNE DI MATELICA,2089000422,0.12044177
33120437,COMUNE DI MATELICA,2228060428,0.1575
33120437,COMUNE DI MATELICA,2616080426,0.825904
33120437,COMUNE DI MATELICA,1746570447,0.09095701
33120437,COMUNE DI MATELICA,1572380440,0.000696402
33120437,COMUNE DI MATELICA,1869070464,0.20212668
33120437,COMUNE DI MATELICA,2191980420,1.5016388
33120437,COMUNE DI MATELICA,12420101003,0.060638007
33120437,COMUNE DI MATELICA,1539150449,9.559056e-05
33120437,COMUNE DI MATELICA,1366670527,0.20212668
33120437,COMUNE DI MATELICA,1232850436,3.48
33120437,COMUNE DI MATELICA,1671350682,0.31962487
33120437,COMUNE DI MATELICA,1595780436,33.333336
33120437,COMUNE DI MATELICA,1219980529,0.20212668
33120437,COMUNE DI MATELICA,1369040439,0.024437927
33120437,COMUNE DI MATELICA,80010900431,3.48
33120437,COMUNE DI MATELICA,1230550996,0.15016387
34670943,COMUNE DI ISERNIA,1622170700,1.1412094
34670943,COMUNE DI ISERNIA,90023160949,7.304602
34670943,COMUNE DI ISERNIA,832510945,2.5
34670943,COMUNE DI ISERNIA,857000947,11.412094
34670943,COMUNE DI ISERNIA,947590949,4.0816326
34670943,COMUNE DI ISERNIA,1561760701,0.074
38870945,COMUNE DI CARPINONE,832510945,1.192
38870945,COMUNE DI CARPINONE,947590949,0.40816325
38870945,COMUNE DI CARPINONE,857000947,0.5242798
38870945,COMUNE DI CARPINONE,90023160949,0.07304602
38870945,COMUNE DI CARPINONE,1622170700,0.052427977
38870945,COMUNE DI CARPINONE,71600944,1.19
38870945,COMUNE DI CARPINONE,821000940,20.0
43820620,COMUNE DI TELESE TERME,7751890638,0.000153
43820620,COMUNE DI TELESE TERME,934000621,0.24135935
43820620,COMUNE DI TELESE TERME,6500781007,0.00015297876
43820620,COMUNE DI TELESE TERME,5211531214,0.0465936
43820620,COMUNE DI TELESE TERME,43810621,71.0
43820620,COMUNE DI TELESE TERME,92043820627,1.8
43820620,COMUNE DI TELESE TERME,7383480634,0.0306
43820620,COMUNE DI TELESE TERME,3814860650,0.0306
43820620,COMUNE DI TELESE TERME,7207660635,0.005048986
43820620,COMUNE DI TELESE TERME,7418460635,0.0306
43820620,COMUNE DI TELESE TERME,6781060634,0.06
43820620,COMUNE DI TELESE TERME,541890653,0.00018800113
43820620,COMUNE DI TELESE TERME,7454860631,0.004039189
43820620,COMUNE DI TELESE TERME,3782611002,8.94886e-06
43820620,COMUNE DI TELESE TERME,5258700631,0.010097972
43820620,COMUNE DI TELESE TERME,5424691219,0.0306
43820620,COMUNE DI TELESE TERME,7150860638,0.03264
43820620,COMUNE DI TELESE TERME,3089350650,7.520045e-06
43820620,COMUNE DI TELESE TERME,92051670641,0.77
46540860,COMUNE DI PIAZZA ARMERINA,548140862,8.743163
46540860,COMUNE DI PIAZZA ARMERINA,5678560821,0.664132
46540860,COMUNE DI PIAZZA ARMERINA,91011660866,22.43
46540860,COMUNE DI PIAZZA ARMERINA,667240865,7.969583
46540860,COMUNE DI PIAZZA ARMERINA,1087110860,0.43715814
46540860,COMUNE DI PIAZZA ARMERINA,1686190859,0.062389467
46540860,COMUNE DI PIAZZA ARMERINA,1178450860,6.098028
46540860,COMUNE DI PIAZZA ARMERINA,1545630855,0.49911574
46540860,COMUNE DI PIAZZA ARMERINA,91014320864,6.06
46540860,COMUNE DI PIAZZA ARMERINA,1897460851,12.1725
46540860,COMUNE DI PIAZZA ARMERINA,1545620856,0.1
46540860,COMUNE DI PIAZZA ARMERINA,91025350868,6.0
46540860,COMUNE DI PIAZZA ARMERINA,1093920864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,1064400862,51.0
46540860,COMUNE DI PIAZZA ARMERINA,556290864,4.0816326
46540860,COMUNE DI PIAZZA ARMERINA,1058960863,10.632857
46840864,COMUNE DI VALGUARNERA CAROPEPE,91025350868,2.46
46840864,COMUNE DI VALGUARNERA CAROPEPE,548140862,3.702634
46840864,COMUNE DI VALGUARNERA CAROPEPE,1087110860,0.18513171
46840864,COMUNE DI VALGUARNERA CAROPEPE,1058960863,4.3589525
46840864,COMUNE DI VALGUARNERA CAROPEPE,1201410865,5.1383333
50800523,COMUNE DI SIENA,882050495,5.4801042e-08
50800523,COMUNE DI SIENA,4751050487,3.7314996e-05
50800523,COMUNE DI SIENA,7084570964,0.39815038
50800523,COMUNE DI SIENA,1372210995,1.0224291e-07
50800523,COMUNE DI SIENA,2796441208,8.626915e-07
50800523,COMUNE DI SIENA,2033530979,1.4425989
50800523,COMUNE DI SIENA,2238060970,2.1686614
50800523,COMUNE DI SIENA,1406850477,3.3396082e-06
50800523,COMUNE DI SIENA,7965230019,4.79273e-09
50800523,COMUNE DI SIENA,3615460486,1.4268588
50800523,COMUNE DI SIENA,4766270484,1.355516
50800523,COMUNE DI SIENA,2344270356,0.4891332
50800523,COMUNE DI SIENA,3250741208,8.9763046e-07
50800523,COMUNE DI SIENA,3561470489,1.8525182
50800523,COMUNE DI SIENA,1366670527,2.4043314
50800523,COMUNE DI SIENA,2038160483,4.347779e-06
50800523,COMUNE DI SIENA,2852571203,3.9655046e-07
50800523,COMUNE DI SIENA,3872120484,2.1664093e-05
50800523,COMUNE DI SIENA,5772490487,0.00010710019
50800523,COMUNE DI SIENA,860920156,8.630225e-09
50800523,COMUNE DI SIENA,5947000484,0.11772834
50800523,COMUNE DI SIENA,5386380488,2.2161894e-05
50800523,COMUNE DI SIENA,3540870874,7.8170124e-05
50800523,COMUNE DI SIENA,1656550702,5.361211e-07
50800523,COMUNE DI SIENA,1624680490,1.8084345e-08
50800523,COMUNE DI SIENA,3076151202,7.189095e-07
50800523,COMUNE DI SIENA,2616080426,1.9916185
