CF Comune,Comune,CF Partecipata,Quota
8010803,COMUNE DI CINQUEFRONDI,2389030798,1.7971082
8010803,COMUNE DI CINQUEFRONDI,2171040807,1.8276762
31500945,COMUNE DI COLLI A VOLTURNO,857000947,0.03166782
31500945,COMUNE DI COLLI A VOLTURNO,1622170700,0.0031667822
31500945,COMUNE DI COLLI A VOLTURNO,839790946,51.0
31730948,COMUNE DI SANTA MARIA DEL MOLISE,857000947,0.40433475
31730948,COMUNE DI SANTA MARIA DEL MOLISE,968090704,0.1001001
31730948,COMUNE DI SANTA MARIA DEL MOLISE,1588110708,0.01001001
31730948,COMUNE DI SANTA MARIA DEL MOLISE,90023160949,0.07304602
31730948,COMUNE DI SANTA MARIA DEL MOLISE,1622170700,0.040433474
33120437,COMUNE DI MATELICA,1230550996,0.15016387
33120437,COMUNE DI MATELICA,2191980420,1.5016388
33120437,COMUNE DI MATELICA,2101430425,0.021420097
33120437,COMUNE DI MATELICA,1369040439,0.024437927
33120437,COMUNE DI MATELICA,2106220425,0.00025
33120437,COMUNE DI MATELICA,1393140429,2.5
33120437,COMUNE DI MATELICA,1595780436,33.333336
33120437,COMUNE DI MATELICA,1119560439,1.2479086
33120437,COMUNE DI MATELICA,2000500427,0.025
33120437,COMUNE DI MATELICA,2089000422,0.75870866
33120437,COMUNE DI MATELICA,1671350682,0.5811342
34670943,COMUNE DI ISERNIA,832510945,2.55
34670943,COMUNE DI ISERNIA,92023120709,4.46
34670943,COMUNE DI ISERNIA,90023160949,7.304602
34670943,COMUNE DI ISERNIA,1561760701,0.074
34670943,COMUNE DI ISERNIA,1622170700,1.0990001
34670943,COMUNE DI ISERNIA,857000947,10.990001
38870945,COMUNE DI CARPINONE,821000940,20.0
38870945,COMUNE DI CARPINONE,857000947,0.5048864
38870945,COMUNE DI CARPINONE,90023160949,0.07304602
38870945,COMUNE DI CARPINONE,832510945,1.02
38870945,COMUNE DI CARPINONE,1622170700,0.05048864
43820620,COMUNE DI TELESE TERME,934000621,0.24801588
46540860,COMUNE DI PIAZZA ARMERINA,678440520,2.9656167e-07
46540860,COMUNE DI PIAZZA ARMERINA,3250741208,9.7796715e-08
46540860,COMUNE DI PIAZZA ARMERINA,1831610975,7.748795e-07
46540860,COMUNE DI PIAZZA ARMERINA,1178450860,6.0549636
46540860,COMUNE DI PIAZZA ARMERINA,3231561204,9.399012e-08
46540860,COMUNE DI PIAZZA ARMERINA,4333640631,3.956377e-07
46540860,COMUNE DI PIAZZA ARMERINA,924960529,3.769546e-07
46540860,COMUNE DI PIAZZA ARMERINA,4518840287,1.4970065e-07
46540860,COMUNE DI PIAZZA ARMERINA,7627770964,1.1521621e-08
46540860,COMUNE DI PIAZZA ARMERINA,6082130482,1.1539432e-07
46540860,COMUNE DI PIAZZA ARMERINA,369470513,3.8745426e-10
46540860,COMUNE DI PIAZZA ARMERINA,123570525,5.7738532e-08
46540860,COMUNE DI PIAZZA ARMERINA,1624680490,9.757334e-07
46540860,COMUNE DI PIAZZA ARMERINA,2184790489,2.4986716e-07
46540860,COMUNE DI PIAZZA ARMERINA,13008430152,2.197987e-10
46540860,COMUNE DI PIAZZA ARMERINA,329340228,1.8053086e-07
46540860,COMUNE DI PIAZZA ARMERINA,5228440961,1.4098517e-08
46540860,COMUNE DI PIAZZA ARMERINA,5750851213,4.4241363e-10
46540860,COMUNE DI PIAZZA ARMERINA,3180660015,8.634949e-07
46540860,COMUNE DI PIAZZA ARMERINA,1816550519,1.8133771e-07
46540860,COMUNE DI PIAZZA ARMERINA,1258890506,3.7194216e-08
46540860,COMUNE DI PIAZZA ARMERINA,1218690525,9.279022e-07
46540860,COMUNE DI PIAZZA ARMERINA,1989390446,5.027909e-11
46540860,COMUNE DI PIAZZA ARMERINA,5222840489,6.4352323e-09
46540860,COMUNE DI PIAZZA ARMERINA,3114980547,2.2735908e-07
46540860,COMUNE DI PIAZZA ARMERINA,2697281208,4.4874087e-09
46540860,COMUNE DI PIAZZA ARMERINA,4485740965,1.5665019e-07
46540860,COMUNE DI PIAZZA ARMERINA,2135750749,1.9232385e-07
46540860,COMUNE DI PIAZZA ARMERINA,2019200373,1.2132888e-06
46540860,COMUNE DI PIAZZA ARMERINA,6804150966,1.8316559e-06
46540860,COMUNE DI PIAZZA ARMERINA,3981070968,1.0112022e-06
46540860,COMUNE DI PIAZZA ARMERINA,5804240967,1.3941866e-07
46540860,COMUNE DI PIAZZA ARMERINA,6579160588,4.083542e-09
46540860,COMUNE DI PIAZZA ARMERINA,1319230528,1.9232385e-07
46540860,COMUNE DI PIAZZA ARMERINA,1288710484,5.3119396e-07
46540860,COMUNE DI PIAZZA ARMERINA,1734560517,9.959557e-08
46540860,COMUNE DI PIAZZA ARMERINA,4268380377,7.8325094e-08
46540860,COMUNE DI PIAZZA ARMERINA,4488380280,2.580471e-07
46540860,COMUNE DI PIAZZA ARMERINA,9945100155,1.3462227e-09
46540860,COMUNE DI PIAZZA ARMERINA,1528040502,1.2369125e-07
46540860,COMUNE DI PIAZZA ARMERINA,743140527,3.239761e-09
46540860,COMUNE DI PIAZZA ARMERINA,1554410991,7.992984e-09
46540860,COMUNE DI PIAZZA ARMERINA,2852571203,4.3204118e-08
46540860,COMUNE DI PIAZZA ARMERINA,3177860545,3.247981e-07
46540860,COMUNE DI PIAZZA ARMERINA,4222280960,5.311802e-07
46540860,COMUNE DI PIAZZA ARMERINA,1349420529,2.958755e-07
46540860,COMUNE DI PIAZZA ARMERINA,92220516,1.8584382e-07
46540860,COMUNE DI PIAZZA ARMERINA,3666510486,4.6754207e-07
46540860,COMUNE DI PIAZZA ARMERINA,1269730527,3.3164e-08
46540860,COMUNE DI PIAZZA ARMERINA,81900532,1.2684337e-08
46540860,COMUNE DI PIAZZA ARMERINA,1594070979,9.002457e-07
46540860,COMUNE DI PIAZZA ARMERINA,11000131000,1.0142325e-06
46540860,COMUNE DI PIAZZA ARMERINA,2466131204,3.9005897e-08
